run,epoch,P,R,mAP50,mAP50_95,fitness
M34__AdamW_lr0-0p001_lrf-0p01_cos-1_wd-0p0005_s42,168,0.90153,0.72709,0.80838,0.53403,0.5889000000000001
M34__AdamW_lr0-0p001_lrf-0p01_cos-0_wd-0p0005_s42,167,0.88319,0.72966,0.80925,0.52565,0.58237
M34__AdamW_lr0-0p001_lrf-0p001_cos-0_wd-0p0005_s42,143,0.83972,0.75002,0.79904,0.52772,0.5819840000000001
M34__AdamW_lr0-0p002_lrf-0p001_cos-0_wd-0p001_s42,168,0.86644,0.75265,0.80717,0.52336,0.580122
M34__AdamW_lr0-0p002_lrf-0p001_cos-1_wd-0p001_s42,142,0.8536,0.73483,0.79837,0.52512,0.57977
M34__AdamW_lr0-0p002_lrf-0p001_cos-1_wd-0p0005_s42,115,0.82633,0.72959,0.79249,0.5245,0.578098
M34__SGD_lr0-0p005_lrf-0p01_cos-0_wd-0p0005_s42,135,0.85251,0.74403,0.80602,0.5211,0.578084
M34__SGD_lr0-0p005_lrf-0p001_cos-0_wd-0p0005_s42,135,0.91601,0.74949,0.79827,0.5224,0.577574
M34__SGD_lr0-0p01_lrf-0p01_cos-1_wd-0p0005_s42,135,0.87271,0.74722,0.78575,0.52526,0.577358
M34__AdamW_lr0-0p001_lrf-0p001_cos-1_wd-0p0005_s42,146,0.86739,0.74194,0.79449,0.52282,0.577154
M34__AdamW_lr0-0p001_lrf-0p001_cos-1_wd-0p001_s42,140,0.89153,0.70966,0.78656,0.52441,0.57684
M34__AdamW_lr0-0p002_lrf-0p01_cos-1_wd-0p0005_s42,159,0.88797,0.71995,0.80639,0.5193,0.5767180000000001
M34__AdamW_lr0-0p002_lrf-0p01_cos-0_wd-0p001_s42,120,0.82926,0.72852,0.78711,0.52375,0.576422
M34__AdamW_lr0-0p002_lrf-0p01_cos-1_wd-0p001_s42,134,0.88193,0.72005,0.8033,0.51922,0.576036
M34__SGD_lr0-0p01_lrf-0p01_cos-0_wd-0p001_s42,156,0.87299,0.76398,0.80329,0.51555,0.573098
M34__SGD_lr0-0p01_lrf-0p001_cos-1_wd-0p0005_s42,140,0.83292,0.77427,0.79625,0.51581,0.571898
M34__SGD_lr0-0p005_lrf-0p01_cos-0_wd-0p001_s42,179,0.86658,0.75876,0.80035,0.51469,0.571822
M34__AdamW_lr0-0p002_lrf-0p01_cos-0_wd-0p0005_s42,176,0.87329,0.72308,0.78749,0.51696,0.5710660000000001
M34__SGD_lr0-0p01_lrf-0p001_cos-1_wd-0p001_s42,150,0.8864,0.70647,0.78191,0.51821,0.5709500000000001
M34__AdamW_lr0-0p002_lrf-0p001_cos-0_wd-0p0005_s42,150,0.79831,0.74874,0.79273,0.51525,0.570746
M34__SGD_lr0-0p005_lrf-0p001_cos-1_wd-0p0005_s42,127,0.89125,0.72377,0.79216,0.514,0.569632
M34__AdamW_lr0-0p001_lrf-0p01_cos-1_wd-0p001_s42,135,0.86486,0.741,0.78699,0.51383,0.568462
M34__SGD_lr0-0p005_lrf-0p001_cos-1_wd-0p001_s42,142,0.83975,0.73123,0.78923,0.51219,0.567598
M34__SGD_lr0-0p01_lrf-0p01_cos-0_wd-0p0005_s42,126,0.84166,0.75059,0.79036,0.51164,0.567384
M34__SGD_lr0-0p005_lrf-0p01_cos-1_wd-0p0005_s42,116,0.8769,0.74611,0.80584,0.50719,0.5669200000000001
M34__SGD_lr0-0p01_lrf-0p01_cos-1_wd-0p001_s42,173,0.81516,0.77312,0.7872,0.51132,0.5664960000000001
M34__SGD_lr0-0p01_lrf-0p001_cos-0_wd-0p001_s42,185,0.80939,0.78277,0.7998,0.50782,0.566216
M34__AdamW_lr0-0p001_lrf-0p01_cos-0_wd-0p001_s42,105,0.8396,0.70077,0.77967,0.5119,0.5654540000000001
M34__SGD_lr0-0p01_lrf-0p001_cos-0_wd-0p0005_s42,70,0.89353,0.71474,0.79347,0.50727,0.5645100000000001
M34__SGD_lr0-0p005_lrf-0p01_cos-1_wd-0p001_s42,145,0.8976,0.72337,0.79484,0.50644,0.56412
M34__SGD_lr0-0p005_lrf-0p001_cos-0_wd-0p001_s42,81,0.85093,0.73766,0.78978,0.50523,0.56214
M34__AdamW_lr0-0p001_lrf-0p001_cos-0_wd-0p001_s42,71,0.79025,0.7151,0.77057,0.5077,0.560274
